"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"1043" 10.8848232486425 1.03411962645784 0.301315487062356 3.43201617859037 0.000599111816779367 0.0049093227431855
"1045" 109.88700130648 -0.527565542350109 0.174935499423067 -3.01577177925582 0.00256326109102191 0.0155626566240616
"1051" 1.32817330814284 0.0634583204227732 0.690907128615995 0.0918478298955911 0.926818941876575 0.96072695194523
"1054" 0.377180609456583 0.0571393729764259 1.01757323020236 0.0561525905757788 0.955220248771983 0.976860270166002
"1064" 224.41519928431 -0.00467502039098102 0.454024512052609 -0.0102968458021036 0.991784450885435 0.992677032253555
"1074" 3.05075498318411 -0.145929444127946 0.709129974713181 -0.205786596719409 0.836957611395623 0.916337210645168
"1094" 2.20771874623602 2.28914168493908 0.922045430109903 2.48267776205585 0.0130398987946797 0.0558182718189526
"1100" 0.522872301836488 -1.3320681110883 0.79133492937824 -1.68331772254123 0.0923136013799868 0.231550131139417
"1104" 1.06726066792234 -1.05706149079549 0.562903731955829 -1.87787259310342 0.0603985964692636 0.176162573035352
"1111" 2.5360991600718 2.41944995548424 0.831289403779454 2.91047852226219 0.00360875768681427 0.0206192763517598
"1112" 24.9549384230073 0.0742742042102365 0.264169885409192 0.281160754168431 0.77858710458592 0.880721154427039
"1114" 4.48244327317114 0.658074781842039 0.362514602708501 1.81530558196906 0.0694769616611401 0.191180285664607
"1115" 0.517666936270214 1.19458984069361 1.03676525110354 1.15222789288325 0.249227438624665 0.442026819971339
"1118" 0.750293443302464 0.617515054472961 0.930537432427381 0.66361119171974 0.506939192386709 0.686168620676191
"1168" 9.67717294777225 -3.31321945143862 0.529471264350096 -6.25760012775284 3.90946655194652e-10 3.32304656915455e-08
"1179" 10.3831765256146 0.937634394135924 0.431595713434543 2.17248310154528 0.029819242887685 0.10395414535414
"1225" 1.60343741475421 0.784056648648057 0.661117519161663 1.18595654467346 0.235639461047099 0.426156472106456
"1278" 0.556728032036488 0.724151307653681 1.20974325567361 0.598599169086055 0.549440210292031 0.726482055830575
"1281" 0.421953992043098 -0.22196322143243 0.947717622506543 -0.234208182016683 0.814823363324316 0.904514741003672
"1284" 0.823607081862822 -1.28688990072645 0.666265541501365 -1.93149700917531 0.0534216188258137 0.162970028624094
"1285" 1.02449556599245 -0.079848497022147 0.699610594525897 -0.114132772783777 0.909132543036372 0.95571353905767
"1286" 2.59322359427498 0.80041722719989 0.526551949711088 1.52011065126445 0.128483168074554 0.292527511499865
"1302" 0.7288115385327 -1.9003195728591 1.09439121093264 -1.73641706354682 0.0824901172832953 0.219114374033753
"1313" 1.72441909175307 -1.3569830983194 0.666414963325488 -2.03624344139557 0.0417259160541058 0.137165304155762
"1316" 0.675766742709627 -0.882573756228347 1.11961569545367 -0.788282765070322 0.430531326581297 0.623275278140807
"1329" 0.599335960207304 1.18055668261303 1.16674829888647 1.01183492938429 0.311616985961591 0.513606943620904
"1371" 3.97338199457873 -0.664067387637077 0.439140109439073 -1.51219934905356 0.130483156590756 0.293381304512079
"1379" 10.1008717145668 1.10903164677045 0.390128085376079 2.84273726589399 0.00447279251994756 0.0239757797240432
"1405" 4.9589549449923 0.649956609935322 0.438497935410584 1.48223413943042 0.138278005646698 0.302288520922113
"1412" 1.03162083533836 -0.28337995288698 0.738715745676279 -0.383611632140792 0.701266317262797 0.82952973910808
"1440" 0.524508091316382 -0.692375357937459 0.931513222346232 -0.743280225473935 0.457312041104558 0.644788304400976
"1444" 0.456455016147536 -0.739043278158182 1.09845654092786 -0.67280156348645 0.501073542950194 0.682418523945584
"1450" 10.2874439795511 -1.50383301082586 0.797105694834527 -1.8866168195399 0.0592118828430587 0.176162573035352
"1455" 14.9974843118462 -0.119362309810066 0.213332159300667 -0.559513906395324 0.575811043170022 0.745040008939273
"1463" 1.26097784341028 -0.812730372780616 0.609130269411844 -1.3342472268951 0.182122846558577 0.358941138190715
"1464" 0.568011096976103 1.78492174773489 1.27005974917614 1.40538407653084 0.15990709918523 0.331358988696478
"1475" 2.1787184979152 -0.188473830291102 0.453421779750805 -0.415669998019692 0.677651498012073 0.817159286715707
"1477" 1.33335436449912 1.12504203594746 0.836177754827629 1.34545798360706 0.178477381126839 0.357085128619286
"1481" 12.9100937551181 -0.985009575049194 0.234545220785016 -4.19965741255523 2.67319134101719e-05 0.000429878067001412
"1494" 2.57909099471219 3.63886613611219 0.956156190135743 3.80572355610184 0.00014139023741527 0.00153322305154606
"1495" 23.1723531801858 1.598868890306 0.5768125729885 2.77190367405164 0.00557295252181433 0.0282435783576442
"1505" 0.397643965520674 1.29120721334537 1.09967126768905 1.1741756389242 0.240324681599769 0.432291756568385
"1520" 4.57924045920394 0.513222960990932 0.621778802778046 0.825410835329063 0.409138385406644 0.598126140827895
"1527" 1.40056286110087 0.0229536151885087 0.693611375432342 0.0330929047612596 0.973600500832902 0.990243168246695
"1537" 0.522390351532683 -3.65959627425592 1.54947806510862 -2.36182515691139 0.0181852166121961 0.0726188180151457
