"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"1043" 10.8848232486425 1.03411962645784 0.301315487062356 3.43201617859037 0.000599111816779367 0.0049093227431855
"1045" 109.88700130648 -0.527565542350109 0.174935499423067 -3.01577177925582 0.00256326109102191 0.0155626566240616
"1064" 224.41519928431 -0.00467502039098102 0.454024512052609 -0.0102968458021036 0.991784450885435 0.992677032253555
"1112" 24.9549384230073 0.0742742042102365 0.264169885409192 0.281160754168431 0.77858710458592 0.880721154427039
"1179" 10.3831765256146 0.937634394135924 0.431595713434543 2.17248310154528 0.029819242887685 0.10395414535414
"1379" 10.1008717145668 1.10903164677045 0.390128085376079 2.84273726589399 0.00447279251994756 0.0239757797240432
"1450" 10.2874439795511 -1.50383301082586 0.797105694834527 -1.8866168195399 0.0592118828430587 0.176162573035352
"1455" 14.9974843118462 -0.119362309810066 0.213332159300667 -0.559513906395324 0.575811043170022 0.745040008939273
"1481" 12.9100937551181 -0.985009575049194 0.234545220785016 -4.19965741255523 2.67319134101719e-05 0.000429878067001412
"1495" 23.1723531801858 1.598868890306 0.5768125729885 2.77190367405164 0.00557295252181433 0.0282435783576442
"1638" 15.7902100373511 -0.285397398507462 0.202405233566161 -1.41002973825859 0.158530902066859 0.330968023613266
"1742" 22.7868308521797 -0.260733865427629 0.282634947562695 -0.922511061268502 0.356262063337099 0.550586825157335
"1745" 130.507875881966 -0.992577132740316 0.184233828627724 -5.38759434211177 7.14069954108796e-08 2.65544764184209e-06
"1874" 90.3722561330299 1.91523923558125 0.443229886216513 4.3210967832744 1.55255552304411e-05 0.000279930465518559
"1878" 51.1077538175973 -1.33674570499972 0.146029716081872 -9.15392935675006 5.48994744103617e-20 3.26651872741652e-17
"1879" 13.8410486521263 1.085183885745 0.41106372707041 2.63994075439092 0.00829205216387807 0.0397551529851064
"1885" 28.100449149062 0.49278330677292 0.277894966051009 1.77327180040558 0.0761836794713518 0.205109906269024
"1945" 209.658720451594 0.436998456450049 0.284232597670377 1.5374677641895 0.124178803173791 0.287495672717531
"2095" 38.6919192662852 1.28923617865274 0.281355119533945 4.58223820767261 4.60025435035135e-06 0.000101375975498483
"2108" 79.0400583107917 0.400335857441064 0.772940549545727 0.517938744029342 0.604501008842919 0.766818474999863
"2124" 47.357087608115 2.973932953796 0.551412228839186 5.39330250266053 6.91743503135444e-08 2.65544764184209e-06
"2152" 52.6433217212783 -0.460015131392406 0.184335225309743 -2.49553567756479 0.0125767107110478 0.055430687948692
"2371" 13.4839196289553 -1.1884966003951 0.372457310989058 -3.19096058884992 0.00141800621687776 0.010289191451735
"2373" 12.3870324715546 -0.0213410971746833 0.404627049805367 -0.0527426359284401 0.957936967723379 0.97765436671597
"2384" 38.583235006883 0.793420287269568 0.222113535641565 3.57213838849491 0.000354078209256447 0.00326018535106432
"2449" 35.8390359044548 0.492407287296957 0.31357421080827 1.57030543432678 0.116344070526733 0.27579570503349
"2453" 268.251252877052 0.179610681903259 0.183188461674191 0.98046940435967 0.326854465048432 0.530721953852724
"2518" 51.7524510779086 1.26861616872681 0.35177754380987 3.60630230965645 0.000310591276769796 0.00298067434964562
"2550" 14.0775523756949 -1.08544231413055 0.245436392986552 -4.42249945463477 9.75655956871968e-06 0.000187262998173813
"2574" 60.2312652815716 -1.09471169019935 0.223821154344977 -4.89101083140723 1.00319443253064e-06 3.31611492975406e-05
"2581" 160.052725536866 0.860345194220134 0.326197030853524 2.63750161051118 0.00835192289603076 0.0397551529851064
"2637" 2006.52368522271 1.18088309582558 0.193824129007779 6.09254947704773 1.11126481791447e-09 8.26503208323886e-08
"2724" 14.1902016530145 2.5626892668999 0.5439285357696 4.71144479168384 2.45966734472269e-06 6.65228213686363e-05
"2909" 415.672613810866 0.219622993151689 0.245496512514526 0.894607385262525 0.370997002547368 0.557432364938596
"2982" 11.927669870125 0.374932615801815 0.271468290715956 1.38112858342677 0.167239428389187 0.339615904066779
"2984" 24.6205288226273 -0.735786324223407 0.237959640844272 -3.09206351805233 0.00198770312218389 0.0135233368020044
"3052" 29.9239442789829 0.957880074675401 0.240631506613522 3.9806926705315 6.87147429726094e-05 0.00092921072883415
"3104" 14.8365056964744 0.876415400073994 0.301699297189623 2.90493020115706 0.00367335007275049 0.0206192763517598
"3199" 18.8244071506285 0.301935890621057 0.237437114792427 1.27164571926767 0.203499024764292 0.387356797720922
"3213" 17.8556222260603 -0.63733238585711 0.222024177528876 -2.87055397727674 0.00409753232959209 0.0225743679269194
"3317" 269.658803995221 1.10384428683929 0.491313884940249 2.24671909480745 0.0246579851333176 0.0911273363622606
"3341" 15.950032626811 -0.823401199189101 0.335975181833103 -2.45077983051179 0.0142547114627188 0.0597292487346314
"3387" 16.6317269956232 1.35835272943737 0.349277692940908 3.88903373129866 0.000100644130466471 0.00117418152210883
"3409" 35.3266810030019 -0.921622287607922 0.232509256065401 -3.96380902508538 7.37632697844602e-05 0.000954111859168561
