,SRX10470966,SRX10470967,SRX10470968,SRX10470969,SRX10470970,SRX10470971,SRX10470972,SRX10470973,SRX10470974,SRX10470975,SRX10470976,SRX10470977,SRX10470978,SRX10470979,SRX10470980,SRX10470981,SRX10470982,SRX10470983,SRX10470984,SRX10470985,SRX10470986,SRX10470987,SRX10470988,SRX10470989,SRX10470990,SRX10470991,SRX10470992,SRX10470993,SRX10470994,SRX10470995,SRX10470996,SRX10470997,SRX10470998,SRX10470999,SRX10471000,SRX10471001,SRX10471002,SRX10471003,SRX10471004,SRX10471005,SRX10471006,SRX10471007,SRX10471008,SRX10471009,SRX10471010,SRX10471011,SRX10471012,SRX10471013,SRX10471014,SRX10471015,SRX10471016,SRX10471017,SRX10471018,SRX10471019
2434,0,0,0,0,0,0,0,0,0,0,0,0.663015201117883,0.937273526698761,0,1.09960085430456,0,0,0,0,0,0,0,0,0,0,0,1.85448933591648,1.1513605585278,0,0,0,0,0,0,0,0,1.21864658477113,0,0,0,0.943096182561662,0,0,0,0,0,0,0.813187062204528,0,0,0.929302732550708,0,0,0.908674980847939
2435,0,0,0,0,0,0,0,0,0,0,0,0,0.937273526698761,0,0,1.08142862941642,0,0,1.02239568179542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94504702778147,0,0,0,0,0,0,0,0,0,0,0,0
2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09960085430456,1.08142862941642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88619236512332,0,0,0,0,0,0,0,0,0,0,0,0,0
2440,0,0,0,0,0,0,0,0,0,0,0,0.663015201117883,0.937273526698761,0,0,0,0,0,2.04479136359084,0,0,2.06141573885485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824063590163226,1.62637412440906,0,0,0,0,0,1.81734996169588
2441,0,0,0,0.978530736118733,0,0,0,0,0,0,0.999325778467116,0,0,0,0,0,0,0,2.04479136359084,0,0,0,0,0,0,0,0,1.1513605585278,0,0,0,0,0,0,0,0,0,1.57144713460744,0,1.25385901189721,1.88619236512332,0,0,0,0,0,0,0,0,0,0,0,0,0
2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651700149370734,0,0,0,0
2445,0.903309295076332,5.25923988163522,2.08613771222035,0.978530736118733,1.0589770556706,3.59998199575491,0.907096792539785,3.06722835414224,4.55136396621202,1.80433224463482,0.999325778467116,1.32603040223577,2.81182058009628,2.42177119268632,4.39840341721822,1.08142862941642,2.23220757565714,1.90263371411602,2.04479136359084,4.79355221847003,0.844048885129189,1.03070786942743,0,2.45604826477893,0,5.31949056354949,0,6.90816335116678,0,3.16390864724539,2.15406553226468,0,0,1.6386211753912,0.989404235784912,0,6.09323292385563,1.57144713460744,0.832811761267273,0,0.943096182561662,0,8.5794855342731,1.87066413159492,3.12418501333915,4.28055888626474,0,1.62637412440906,1.59393776516312,0,0.929302732550708,2.95013447157206,4.38715843462657,1.81734996169588
2446,0,0,0,0.978530736118733,0,0,0,1.02240945138075,0,0,0,0,1.87454705339752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785723567303718,0,0,1.88619236512332,0,0,0,0,0,0,0,0,0,0,4.42520170735808,0,0
2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57144713460744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2449,56.0051762947326,13.148099704088,27.1197902588646,17.6135532501372,9.53079350103536,24.2998784713457,9.07096792539785,17.3809606734727,20.0260014513329,52.3256350944097,54.9629178156914,14.5863344245934,47.8009498616368,36.3265678902947,47.2828367350959,64.8857177649852,11.1610378782857,17.1237034270441,38.851035908226,53.6877848468644,20.2571732431005,15.4606180414114,17.3146637768964,18.420361985842,62.8372431867048,39.8961792266212,48.2167227338284,19.5731294949726,15.0863576664399,88.589442122871,16.1554914919851,80.3082579122006,45.1707068805137,21.3020752800856,16.8198720083435,69.5531976306614,46.3085702213028,16.5001949133781,37.4765292570273,12.5385901189721,41.4962320327131,41.8185110973017,12.2564079061044,81.373889724379,87.4771803734962,54.5771257998754,53.5641333606097,30.901108363772,34.2696619510072,26.7197061242001,14.8688437208113,28.0262774799345,65.8073765193985,47.2510990040928
2450,3.61323718030533,0,0,0,0,0,0,0,0,0,0.999325778467116,0,0,0,0,0,0,0,1.02239568179542,0,0,0,0,0,0,0.886581760591582,0,0,0,0,2.15406553226468,0,0,0,0,0,0,0,0,0,0.943096182561662,0,0,0,0,0,0,0,0,0,0,0,0,0
2452,0,0,0,1.95706147223747,4.23590822268238,1.79999099787746,2.72129037761935,0,0.910272793242405,0,0.999325778467116,0,0,0,1.09960085430456,1.08142862941642,0,5.70790114234805,1.02239568179542,0.958710443694007,0.844048885129189,0,4.32866594422409,0,0,0.886581760591582,0,0,0.942897354152491,0,4.30813106452935,0,0,0,0,0,0,0,0,0,2.82928854768498,0,1.22564079061044,0,0,0,0,0,0,0,1.85860546510142,2.95013447157206,0,0.908674980847939
