	x
SRX9033799	1.34362478566225
SRX9033800	0.832447407550773
SRX9033801	0.844596384288612
SRX9033802	1.33172837951317
SRX9033803	0.808527696726172
SRX9033804	1.17927027611719
SRX9033805	1.46750097029751
SRX9033806	0.881830111873217
SRX9033807	1.12032289194097
SRX9033808	1.2593917385094
SRX9033809	1.58803383345002
SRX9033810	1.08633665943964
SRX9033811	1.47808809795049
SRX9033812	1.00686067292027
SRX9033813	0.840567457273579
SRX9033814	1.66867997265251
SRX9033815	1.08708402245503
SRX9033816	1.237382595064
SRX9033817	1.36973308292195
SRX9033818	0.941436619784997
SRX9033819	0.934231893690094
SRX9033820	0.67099028821076
SRX9033821	0.748739852146901
SRX9033822	0.871883331533074
SRX9033823	1.4866307856006
SRX9033824	0.909926384021044
SRX9033825	1.13955170593516
SRX9033826	0.840024374082919
SRX9033827	0.714011891147437
SRX9033828	1.20980940302182
SRX9033829	0.769825279329282
SRX9033830	0.847527968617107
SRX9033831	1.19764417244035
SRX9033832	1.02266103400238
SRX9033833	1.84530370107415
SRX9033834	0.796560886900588
SRX9033835	0.514939005751266
SRX9033836	0.567231891049445
SRX9033837	0.747294661832407
SRX9033838	0.934351621214536
SRX9033839	0.765460814110328
SRX9033840	1.0102416918479
SRX9033841	0.575163948558021
SRX9033842	0.928255089153823
SRX9033843	0.758063005473057
SRX9033844	0.867481187105796
SRX9033845	0.913341350110252
SRX9033846	0.674607980255232
SRX9033847	0.770059727872305
SRX9033848	0.251568216295944
SRX9033849	1.4495336740924
SRX9033850	0.427428490731306
SRX9033851	1.07200064145609
SRX9033852	0.850771231239297
SRX9033853	0.887355591971099
SRX9033854	1.68032663304006
SRX9033855	0.794428551528386
SRX9033856	1.36689713168184
SRX9033857	1.34272989345694
SRX9033858	1.48817125210649
SRX9033859	1.21010596879069
SRX9033860	1.2680642724755
SRX9033861	0.792092938025055
SRX9033862	1.36586757248655
SRX9033863	1.12241496636024
SRX9033864	1.02698437184924
SRX9033865	0.793660240481762
SRX9033866	1.27424456650554
SRX9033867	1.36446910925218
SRX9033868	0.892039033146951
SRX9033869	1.27783825223356
SRX9033870	1.40508562860229
SRX9033871	1.11269756767525
SRX9033872	1.07448503856663
SRX9033873	0.831855414657456
SRX9033874	0.828063992741915
SRX9033875	1.05649564496486
SRX9033876	1.23991655116707
SRX9033877	0.772514313741097
SRX9033878	0.922486775957571
SRX9033879	1.02489604755089
SRX9033880	1.02349371966416
SRX9033881	0.697317359429688
SRX9033882	1.18954710621479
SRX9033883	1.20927742527139
SRX9033884	0.816127166487149
SRX9033885	1.29308330079313
SRX9033886	1.21278463404305
SRX9033887	0.974672145168966
SRX9033888	1.27148045037968
SRX9033889	1.41588698323391
SRX9033890	1.04760586786771
SRX9033891	0.746423979775461
SRX9033892	0.69052482890425
SRX9033893	1.05578404369192
SRX9033894	0.760712114942749
SRX9033895	1.2472117172542
SRX9033896	1.48531178875223
SRX9033897	1.02316128907639
SRX9033898	0.870812280491634
SRX9033899	1.03539478945851
SRX9033900	1.21511916028937
SRX9033901	0.79434504477686
SRX9033902	1.15097930807971
SRX9033903	0.910927119345163
SRX9033904	1.66474917104735
SRX9033905	1.26585192583329
SRX9033906	0.994328619094309
SRX9033907	1.52821264836567
SRX9033908	1.2241369575514
SRX9033909	1.49868119557185
SRX9033910	0.92254044358372
SRX9033911	1.08938209466041
SRX9033912	0.764833718032915
SRX9033913	1.40358697992034
SRX9033914	1.17844940020363
SRX9033915	1.38966189087637
SRX9033916	1.0786432595914
SRX9033917	1.02316197991897
SRX9033918	0.987112139240718
SRX9033919	0.959489469650448
SRX9033920	0.863389491092569
SRX9033921	1.0209864444726
SRX9033922	1.36180404517759
SRX9033923	0.697978617665452
SRX9033924	0.530784278964232
