,SRX9033799,SRX9033800,SRX9033801,SRX9033802,SRX9033803,SRX9033804,SRX9033805,SRX9033806,SRX9033807,SRX9033808,SRX9033809,SRX9033810,SRX9033811,SRX9033812,SRX9033813,SRX9033814,SRX9033815,SRX9033816,SRX9033817,SRX9033818,SRX9033819,SRX9033820,SRX9033821,SRX9033822,SRX9033823,SRX9033824,SRX9033825,SRX9033826,SRX9033827,SRX9033828,SRX9033829,SRX9033830,SRX9033831,SRX9033832,SRX9033833,SRX9033834,SRX9033835,SRX9033836,SRX9033837,SRX9033838,SRX9033839,SRX9033840,SRX9033841,SRX9033842,SRX9033843,SRX9033844,SRX9033845,SRX9033846,SRX9033847,SRX9033848,SRX9033849,SRX9033850,SRX9033851,SRX9033852,SRX9033853,SRX9033854,SRX9033855,SRX9033856,SRX9033857,SRX9033858,SRX9033859,SRX9033860,SRX9033861,SRX9033862,SRX9033863,SRX9033864,SRX9033865,SRX9033866,SRX9033867,SRX9033868,SRX9033869,SRX9033870,SRX9033871,SRX9033872,SRX9033873,SRX9033874,SRX9033875,SRX9033876,SRX9033877,SRX9033878,SRX9033879,SRX9033880,SRX9033881,SRX9033882,SRX9033883,SRX9033884,SRX9033885,SRX9033886,SRX9033887,SRX9033888,SRX9033889,SRX9033890,SRX9033891,SRX9033892,SRX9033893,SRX9033894,SRX9033895,SRX9033896,SRX9033897,SRX9033898,SRX9033899,SRX9033900,SRX9033901,SRX9033902,SRX9033903,SRX9033904,SRX9033905,SRX9033906,SRX9033907,SRX9033908,SRX9033909,SRX9033910,SRX9033911,SRX9033912,SRX9033913,SRX9033914,SRX9033915,SRX9033916,SRX9033917,SRX9033918,SRX9033919,SRX9033920,SRX9033921,SRX9033922,SRX9033923,SRX9033924
1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7680091126715
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29899605384648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,0,0,0,0.629709505513173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83497254277318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55259864270577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58894879282494,0,0,0,0,0,0,0,0,0,0,0.78648476246834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541916216511082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977363012729598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30747373765361,0,0,0,0,0,1.01305612629705,0,0,0,0,0,0
1043,1.488510796572,0,1.18399749111202,0.750903874531504,4.94726404079476,4.23991013871965,1.36286110911023,0,5.35559885740168,1.588068222813,2.51883802205269,2.76157485244719,4.05929795951917,4.9659303759458,14.2760701668401,1.79782825297007,1.83978419210253,3.23262992057288,2.19020774003671,2.12441279420037,1.07039805293965,1.49033453623683,2.67115473320312,0,2.01798592431812,4.39596001417571,5.26522839529793,5.952208238551,0,0,5.19598421538591,1.17990206462647,0.83497254277318,2.93352332811481,1.62574864953325,3.76619044361188,5.82593271531873,3.52589484399364,6.69080117304696,2.14052178493602,1.30640260293699,0.98986213702073,0,2.15458016160532,7.91490938969617,1.15276275135871,10.9488090063949,0,1.29860056798844,0,4.13926223808274,2.33957263421785,0,3.52621232341152,3.38083179634451,0.59512238890768,1.25876644045096,2.92633579169076,2.23425427155444,4.03179405025266,1.65274781843997,3.94301780164428,1.26247811588035,5.12494779216155,0.890936088675647,0.973724651913981,0,0,1.4657715491237,0,0,2.84680158886758,4.49358401173327,7.44542707702292,1.20213198397198,0,3.78610174028029,2.41951766606894,9.06132077488729,0,0.97570870957071,0.977045565387671,0,3.36262429550036,1.65388020829972,6.12649621935938,3.09338153044475,0,2.05197205020493,1.57296952493668,0.706271059654763,3.81822985407821,0,2.89634770001489,0,1.31455774182755,0,0.673259316712266,0,6.89011872525797,0,4.11482277903452,3.77669631066023,5.21295209903502,0,0.600691093524237,3.15992725402449,0,0,4.90141234850192,0,2.16792663553129,0.917951566214907,2.61494747530721,1.42492059887411,1.69714541808448,2.15879849601984,0,4.88681176405321,2.02611225259411,0,0,0,1.46864007863862,0,0
1045,52.842133278306,70.8753483581501,54.4638845911529,48.0578479700162,48.2358243977489,61.054705997563,64.7359026827358,71.4423324308727,93.7229800045293,69.8750018037721,101.383230387621,101.25774458973,70.3611646316657,69.5230252632412,86.8460935149441,116.858836443054,69.9117992998963,80.8157480143219,83.227894121395,55.2347326492097,74.9278637057756,49.1810396958154,68.1144456966796,114.694244497329,63.2302256286344,36.2666701169496,61.4276646118092,69.0456155671916,15.4059058908987,96.7094483707611,41.5678737230873,71.9740259422145,69.302721050174,69.426718765384,41.1856324548422,35.1511108070442,71.8531701555977,10.5776845319809,28.1013649267972,49.2320010535284,45.7240911027947,38.6046233438085,19.1249817162182,40.937023070501,39.5745469484809,24.208017778533,56.9338068332535,26.6821628661876,25.9720113597688,3.97506495345025,47.6015157379515,37.4331621474855,108.208890474579,31.7359109107037,87.9016267049574,42.2536896124453,17.6227301663135,129.490358782316,52.1325996696035,99.4509199062323,48.7560606439791,58.3566634643353,92.1609024592653,84.1955708712255,21.3824661282155,5.84234791148389,12.5998500238967,81.616985258338,74.0214632307467,44.8410871202433,41.4762978861841,150.880484209982,77.2896450018122,53.9793463084161,27.6490356313555,41.0596286011882,80.4546619809561,66.9399887612407,14.2392183605372,89.9741895094846,12.6842132244192,28.3343213962425,17.2088072062545,38.6701793982541,43.8278255199427,185.020185824653,88.1613736176754,51.122019738419,35.9095108785863,27.5269666863919,30.3696555651548,70.6372523004468,9.37804811965679,27.5153031501415,28.4149018724459,9.20190419279285,24.0536547123262,52.5142267035568,35.1850684582655,11.4835312087633,20.2821186795643,16.4592911161381,15.1067852426409,33.8841886437276,16.4667399635473,18.0207328057271,40.2890724888122,15.0855559338751,58.8923276457956,27.7746699748442,47.3749855604938,10.8396331776565,43.1437236121007,50.9914757684907,30.6357928757935,31.397190234563,54.6895618991694,22.2501738054632,34.2076823483725,76.9922655985761,13.5488719899511,27.7974196438613,10.7738942662281,78.5722442071659,10.0289605194685,1.88400455633575
