erv,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1284,0,1,0,0,0,0,0,0
1285,0,3,0,1,0,1,0,2
1286,1,0,0,0,0,1,2,2
1287,0,0,0,0,0,0,0,0
1288,0,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0
1291,0,0,0,0,0,0,0,0
1294,0,0,0,0,0,0,0,0
1296,0,0,0,0,0,0,0,0
1298,0,0,0,0,0,0,0,1
1299,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0
1302,0,0,0,0,0,0,0,0
1303,0,0,0,0,0,0,0,0
1308,0,0,0,0,0,0,0,0
1309,0,0,0,0,0,0,0,0
1310,0,0,0,0,1,0,1,1
1313,0,1,1,0,0,1,3,1
1315,0,0,0,0,0,0,0,0
1316,0,0,0,0,0,2,0,0
1317,0,0,0,0,0,0,0,0
1321,0,0,0,0,0,0,0,0
1323,0,0,0,0,0,0,0,0
1324,0,0,0,0,0,0,0,0
1325,0,0,0,0,0,0,0,0
1329,1,1,2,4,2,1,3,2
1334,0,0,0,0,0,0,0,0
1335,0,0,0,0,0,0,0,0
1336,0,0,0,0,0,0,0,0
1339,1,0,0,0,0,0,0,0
1342,0,0,1,4,0,0,0,0
1343,0,0,1,1,0,0,0,0
1347,0,0,0,0,0,0,0,0
1349,0,0,0,0,0,0,0,0
1350,0,0,0,1,0,0,0,0
1351,0,0,0,0,0,0,0,0
1352,0,0,0,0,0,0,0,0
1356,0,0,0,0,0,0,0,0
1359,0,0,0,0,0,0,1,0
1362,0,0,0,0,0,0,0,0
1365,0,0,0,0,0,0,0,0
1366,0,0,0,0,0,0,0,0
1368,0,0,0,0,0,0,0,0
1370,0,0,0,0,0,0,0,0
1371,0,0,2,2,2,6,0,0
1372,0,0,0,0,0,0,0,0
1374,0,0,2,0,0,0,0,0
1376,0,0,0,0,0,0,0,0
1378,0,0,0,0,0,0,0,0
1379,4,2,2,7,5,4,4,2
1383,0,0,0,0,0,0,0,0
1385,0,0,0,0,0,0,0,0
1386,0,0,0,0,0,0,0,0
1387,0,0,0,0,0,0,0,0
1388,0,0,0,0,0,0,0,0
1389,0,0,0,1,0,0,0,0
1390,0,0,0,0,0,0,0,0
1392,0,0,0,0,0,0,0,0
1393,0,0,0,0,0,0,0,0
1396,0,0,0,0,0,0,0,0
1398,0,0,0,0,0,0,0,0
1405,1,1,0,3,1,1,3,0
1406,0,0,0,0,0,0,0,0
1407,0,0,0,0,0,0,1,0
1412,2,2,1,5,0,0,0,0
1413,0,0,0,0,0,0,0,0
1414,0,0,0,0,0,0,0,0
1417,0,0,0,0,0,0,0,0
1419,0,0,0,0,0,0,1,0
1420,0,0,0,0,0,0,0,0
1422,0,0,0,0,0,0,0,0
1424,0,0,0,0,0,0,0,0
1425,0,0,0,0,0,0,0,0
1426,0,0,0,0,0,0,0,0
1427,0,0,0,0,0,0,0,0
1428,0,0,0,0,0,0,0,0
1429,0,0,0,0,0,0,0,0
1434,0,0,0,0,0,0,0,0
1435,0,0,0,0,0,0,0,0
1436,0,0,0,0,0,0,0,0
1437,0,0,0,0,0,0,0,0
1438,0,0,0,0,0,0,0,0
1439,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0
1443,0,0,0,0,0,0,0,0
1444,0,0,0,0,0,0,0,0
1445,0,0,0,0,0,0,0,0
1446,0,0,0,0,0,0,0,0
1448,0,0,0,0,0,0,0,0
1449,0,0,0,0,0,0,0,0
1450,0,2,0,0,0,0,0,1
1452,0,0,0,0,0,0,0,0
1454,0,0,0,0,0,0,0,0
1455,3,14,3,10,10,3,6,5
1458,0,0,0,0,0,0,0,0
1459,0,0,0,0,0,0,0,0
1463,0,0,0,0,0,0,0,0
1464,2,0,0,0,0,0,1,0
1465,0,0,0,0,0,0,0,0
1466,0,0,0,0,0,0,0,0
1467,0,0,0,0,0,0,0,0
1472,0,0,0,0,1,0,0,0
1474,0,0,0,0,0,0,0,0
1475,0,0,1,0,1,1,4,0
1476,0,0,0,0,0,1,0,1
1477,0,0,0,0,0,0,0,0
1478,0,0,0,0,0,0,0,0
1481,8,8,1,3,6,3,7,4
1483,0,0,0,0,0,0,0,0
1484,0,0,0,0,0,0,0,0
1488,0,0,0,0,0,0,0,0
1489,0,0,0,0,0,0,0,1
1491,0,0,0,0,0,0,0,0
1493,4,0,2,2,0,0,4,0
1494,0,0,4,0,1,0,2,0
1495,1,1,62,3,5,1,15,0
1496,0,0,0,0,0,0,0,0
1497,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,1,0
1501,0,0,0,0,0,0,0,0
1503,0,0,0,0,0,0,0,0
1505,0,0,0,0,0,0,0,0
1506,0,0,0,0,0,0,0,0
1507,0,0,0,0,0,0,0,0
1508,0,0,0,0,0,0,0,0
1509,0,0,0,0,0,0,0,0
1510,0,0,0,0,0,0,0,0
1513,0,0,0,0,0,0,0,0
1514,0,0,0,0,0,0,1,0
1516,0,0,0,0,0,1,0,0
1518,0,0,0,0,0,0,0,0
1519,0,0,0,0,0,0,0,0
1520,0,0,9,12,3,1,1,0
1523,0,1,0,0,0,0,0,0
1527,0,0,0,0,0,0,1,0
1528,0,0,0,0,0,0,0,0
1531,0,0,0,0,0,0,0,0
