"erv_name","gene","spearman_rho","p_value","padj"
"4426","DNAH9",-0.18609423726831,0.177879554833678,0.213455465800413
"4489","RNF213",0.739965694682676,0,0
"4784","GP6",0.865294453973699,0,0
"466","CMPK2",0.89136649514008,0,0
"1379","SMIM14",-0.0607250411554023,0.662693349934075,0.662693349934075
"1495","HERC6",0.883819325328759,0,0
