"erv","gene","spearman_rho","p_value","padj"
"6068","ENSG00000287064",0.706351459213367,2.41206861523632e-09,5.62816010221809e-09
"6080","ENSG00000228863",0.166927153307914,0.227646636793622,0.265587742925892
"6080","ENSG00000117091",-0.2099264291543,0.127614877155307,0.165426692608731
"K-21","ENSG00000228863",0.762912140270631,0,0
"K-21","ENSG00000117091",-0.278216123499142,0.0419868241737448,0.0587815538432427
"3317","ENSG00000185745",0.907299409186201,0,0
"3317","ENSG00000107798",-0.03663045549838,0.792094772182785,0.792094772182785
"3317","ENSG00000152778",0.868115113398132,0,0
"3387","ENSG00000291144",0.534438726891557,4.16446360455582e-05,8.09756811996966e-05
"3687","ENSG00000286504",NA,NA,NA
"3687","ENSG00000256589",0.307068636536972,0.0239110352493759,0.0348702597386732
"3687","ENSG00000286895",-0.0560487366671523,0.68727798710247,0.728931198442013
"3690","ENSG00000255801",0.933142748237088,0,0
"3751","ENSG00000255760",0.686678101772441,3.54505198326024e-08,7.75480121338177e-08
"ERVH13q33.3","ENSG00000275216",0.501202348123365,0.00011321054261266,0.000198118449572154
"4736","ENSG00000231412",0.869563560129598,0,0
"466","ENSG00000225964",0.94229083285687,0,0
"466","ENSG00000134326",0.89136649514008,0,0
"468","ENSG00000143797",0.845397369925672,0,0
"565","ENSG00000288869",NA,NA,NA
"565","ENSG00000196975",0.323651610444063,0.0173544710074388,0.0264089776200156
"606","ENSG00000211598",NA,NA,NA
"4830","ENSG00000274173",NA,NA,NA
"882","ENSG00000231304",0.179035639412998,0.194654737729765,0.243318422162206
"942","ENSG00000223552",0.0381551362683438,0.783638752613903,0.792094772182785
"944","ENSG00000283646",0.932832694358976,1.04234555671038e-24,2.60586389177594e-24
"W-17","ENSG00000229453",0.829235753764056,0,0
"1379","ENSG00000287262",0.450344340698205,0.000633184586472766,0.00100733911484304
"1379","ENSG00000249348",0.0611824802601511,0.66030678696471,0.722210548242651
"1495","ENSG00000138642",0.883819325328759,0,0
"2124","ENSG00000289456",NA,NA,NA
"2384","ENSG00000146433",-0.171183533447684,0.215203592083137,0.259728473203786
"2384","ENSG00000218226",0.528599436343193,3.97861281892265e-05,8.09756811996966e-05
"2518","ENSG00000196247",0.814979988564894,0,0
"2518","ENSG00000271550",NA,NA,NA
"2581","ENSG00000161040",0.749113779302458,0,0
"2581","ENSG00000230257",0.786620926243568,0,0
"3052","ENSG00000287868",NA,NA,NA
"3542","ENSG00000285933",NA,NA,NA
"3542","ENSG00000255319",0.127876664438012,0.356789039341843,0.40282633474079
"3542","ENSG00000248671",0.505769160063993,9.56866957784717e-05,0.000176264965907711
"4352","ENSG00000005187",0.490222984562607,0.000202335222039581,0.000337225370065969
"4352","ENSG00000166743",0.246350295406899,0.0727050255814024,0.0978721498211186
