"erv","gene","spearman_rho","p_value","padj"
"6068","ENSG00000287064",0.706351459213367,2.41206861523632e-09,5.62816010221809e-09
"K-21","ENSG00000228863",0.762912140270631,0,0
"3317","ENSG00000185745",0.907299409186201,0,0
"3317","ENSG00000152778",0.868115113398132,0,0
"3387","ENSG00000291144",0.534438726891557,4.16446360455582e-05,8.09756811996966e-05
"3690","ENSG00000255801",0.933142748237088,0,0
"3751","ENSG00000255760",0.686678101772441,3.54505198326024e-08,7.75480121338177e-08
"ERVH13q33.3","ENSG00000275216",0.501202348123365,0.00011321054261266,0.000198118449572154
"4736","ENSG00000231412",0.869563560129598,0,0
"466","ENSG00000225964",0.94229083285687,0,0
"466","ENSG00000134326",0.89136649514008,0,0
"468","ENSG00000143797",0.845397369925672,0,0
"944","ENSG00000283646",0.932832694358976,1.04234555671038e-24,2.60586389177594e-24
"W-17","ENSG00000229453",0.829235753764056,0,0
"1495","ENSG00000138642",0.883819325328759,0,0
"2384","ENSG00000218226",0.528599436343193,3.97861281892265e-05,8.09756811996966e-05
"2518","ENSG00000196247",0.814979988564894,0,0
"2581","ENSG00000161040",0.749113779302458,0,0
"2581","ENSG00000230257",0.786620926243568,0,0
"3542","ENSG00000248671",0.505769160063993,9.56866957784717e-05,0.000176264965907711
